subject,sessions,alphas,diff_fundicres_dpf
CC00063AN06,15102,0.0005,0.20441064929460748
CC00063AN06,15102,0.001,0.2574906207699139
CC00063AN06,15102,0.003,0.4052225528583522
CC00063AN06,15102,0.005,0.4950053630537744
CC00063AN06,15102,0.01,0.6290915905214693
CC00063AN06,15102,0.03,0.7853004628181446
CC00063AN06,15102,0.05,0.8393978838722567
CC00063AN06,15102,0.5,0.8847785878775684
CC00492AN15,140900,0.0,0.24139121296528437
CC00492AN15,140900,0.0001,0.2645162611014344
CC00492AN15,140900,0.0005,0.3076995468027401
CC00492AN15,140900,0.001,0.3539664486515429
CC00492AN15,140900,0.003,0.46099569586124456
CC00492AN15,140900,0.005,0.5378688302529366
CC00492AN15,140900,0.01,0.6593711151178545
CC00492AN15,140900,0.03,0.7851644753026641
CC00492AN15,140900,0.05,0.835491217212704
CC00492AN15,140900,0.5,0.8924375925836464
CC00100XX01,35000,0.0,0.13416556279902903
CC00100XX01,35000,0.0001,0.16055852320020528
CC00100XX01,35000,0.0005,0.24136868830315028
CC00100XX01,35000,0.001,0.3101229809956109
CC00100XX01,35000,0.003,0.4858296413678642
CC00100XX01,35000,0.005,0.581442970884576
CC00100XX01,35000,0.01,0.6874796128352618
CC00100XX01,35000,0.03,0.8238865318785059
CC00100XX01,35000,0.05,0.8713796076157642
CC00100XX01,35000,0.5,0.9136963158868469
CC00777XX19,239102,0.0,0.1588476670241267
CC00777XX19,239102,0.0001,0.16336056021849793
CC00777XX19,239102,0.0005,0.2830737356107193
CC00777XX19,239102,0.001,0.37772521189404
CC00777XX19,239102,0.003,0.6035301023359979
CC00777XX19,239102,0.005,0.7054021321850088
CC00777XX19,239102,0.01,0.7952775234154689
CC00777XX19,239102,0.03,0.885069644233699
CC00777XX19,239102,0.05,0.9191461030453142
CC00777XX19,239102,0.5,0.9360003651604335
CC00839XX23,23710,0.0,0.19120690142969102
CC00839XX23,23710,0.0001,0.20163025326071063
CC00839XX23,23710,0.0005,0.25302608456900416
CC00839XX23,23710,0.001,0.295306183182485
CC00839XX23,23710,0.003,0.4559827852974986
CC00839XX23,23710,0.005,0.5584717006370031
CC00839XX23,23710,0.01,0.7010419963622999
CC00839XX23,23710,0.03,0.85273177016239
CC00839XX23,23710,0.05,0.8988858040284681
CC00839XX23,23710,0.5,0.9371591565508764
KKI2009_113,MR1,0.0,0.24618975871038254
KKI2009_113,MR1,0.0001,0.2675442868838872
KKI2009_113,MR1,0.0005,0.3578892578327775
KKI2009_113,MR1,0.001,0.42423375765992744
KKI2009_113,MR1,0.003,0.6214913645724132
KKI2009_113,MR1,0.005,0.7072788316397252
KKI2009_113,MR1,0.01,0.7931710958360908
KKI2009_113,MR1,0.03,0.8903926924826464
KKI2009_113,MR1,0.05,0.9193423016825426
KKI2009_113,MR1,0.5,0.9413967746914111
KKI2009_142,MR1,0.0,0.11265736511579322
KKI2009_142,MR1,0.0001,0.16478070758844957
KKI2009_142,MR1,0.0005,0.26678473279192455
KKI2009_142,MR1,0.001,0.38569728110315293
KKI2009_142,MR1,0.003,0.5975603652814915
KKI2009_142,MR1,0.005,0.6663124667659361
KKI2009_142,MR1,0.01,0.7654049017473914
KKI2009_142,MR1,0.03,0.8764873763929419
KKI2009_142,MR1,0.05,0.9085439328019967
KKI2009_142,MR1,0.5,0.9401399784138088
KKI2009_505,MR1,0.0,0.26466670626321015
KKI2009_505,MR1,0.0001,0.27662572670660346
KKI2009_505,MR1,0.0005,0.38126924435686693
KKI2009_505,MR1,0.001,0.4531647386352578
KKI2009_505,MR1,0.003,0.6190036853991924
KKI2009_505,MR1,0.005,0.7090703378928043
KKI2009_505,MR1,0.01,0.7890016154248554
KKI2009_505,MR1,0.03,0.8833355880302749
KKI2009_505,MR1,0.05,0.9179171415698136
KKI2009_505,MR1,0.5,0.9460576999887019
