subject,sessions,alphas,std_crest_dpfstar
CC00621XX11,177900,300,0.13304239257366057
CC00621XX11,177900,400,0.12634717802382373
CC00621XX11,177900,500,0.12193268402880152
CC00621XX11,177900,600,0.1187777574254956
CC00621XX11,177900,700,0.11661217315090198
CC00621XX11,177900,800,0.11483865697750481
CC00621XX11,177900,900,0.11339907481792706
CC00621XX11,177900,1000,0.11227037695875561
CC00621XX11,177900,2000,0.1073396701656838
CC00829XX21,17610,0,0.23539001176780608
CC00829XX21,17610,1,0.2340227953667667
CC00829XX21,17610,5,0.22903843905247087
CC00829XX21,17610,10,0.22438208686883618
CC00829XX21,17610,50,0.20137761698759493
CC00829XX21,17610,100,0.18395067193296086
CC00829XX21,17610,150,0.1733398916851784
CC00829XX21,17610,200,0.16595128739028975
CC00829XX21,17610,250,0.16037669093874046
CC00829XX21,17610,300,0.15586440330443527
CC00829XX21,17610,400,0.14925322713927583
CC00829XX21,17610,500,0.14462736616304905
CC00829XX21,17610,600,0.1403182686260715
CC00829XX21,17610,700,0.1366317217171349
CC00829XX21,17610,800,0.13347635768861324
CC00829XX21,17610,900,0.13112809653280272
CC00829XX21,17610,1000,0.1287413759028876
CC00829XX21,17610,2000,0.11775902646581089
CC00617XX15,176500,0,0.18790980667913304
CC00617XX15,176500,1,0.18759668851372893
CC00617XX15,176500,5,0.18613521802830135
CC00617XX15,176500,10,0.1842706168019245
CC00617XX15,176500,50,0.17405650082627921
CC00617XX15,176500,100,0.16753790058981208
CC00617XX15,176500,150,0.16250202854103077
CC00617XX15,176500,200,0.1581918609660678
CC00617XX15,176500,250,0.15412791527415307
CC00617XX15,176500,300,0.15016793879639145
CC00617XX15,176500,400,0.14317397050592515
CC00617XX15,176500,500,0.13731103643126777
CC00617XX15,176500,600,0.1322629462769433
CC00617XX15,176500,700,0.12810129063823428
CC00617XX15,176500,800,0.12472193372295298
CC00617XX15,176500,900,0.12161883600308604
CC00617XX15,176500,1000,0.1190437298810355
CC00617XX15,176500,2000,0.1064117308882769
