subject,sessions,alphas,diff_fundicrest_dpfstar
CC00385XX15,118500,250,0.5008435042827908
CC00385XX15,118500,300,0.5339063695603302
CC00385XX15,118500,400,0.5841576086574849
CC00385XX15,118500,500,0.6220683762449166
CC00385XX15,118500,600,0.6497163127299335
CC00385XX15,118500,700,0.6716136317496663
CC00385XX15,118500,800,0.6892310579077947
CC00385XX15,118500,900,0.7038837634384812
CC00385XX15,118500,1000,0.7177673306955731
CC00385XX15,118500,2000,0.7856128523168757
CC00063AN06,15102,0,0.13469888186150594
CC00063AN06,15102,1,0.13567591281476943
CC00063AN06,15102,5,0.1448114925911603
CC00063AN06,15102,10,0.15691515818931123
CC00063AN06,15102,50,0.2533158447426835
CC00063AN06,15102,100,0.34413688132761017
CC00063AN06,15102,150,0.39973507532647273
CC00063AN06,15102,200,0.44696520999614237
CC00063AN06,15102,250,0.48978610538347395
CC00063AN06,15102,300,0.5215154182192141
CC00063AN06,15102,400,0.5805200325615081
CC00063AN06,15102,500,0.6240021548624948
CC00063AN06,15102,600,0.6570883298430331
CC00063AN06,15102,700,0.6839133692021376
CC00063AN06,15102,800,0.705104883982148
CC00063AN06,15102,900,0.722192319275652
CC00063AN06,15102,1000,0.7356428368510012
CC00063AN06,15102,2000,0.8125933627460094
CC00492AN15,140900,0,0.24139081221036546
CC00492AN15,140900,1,0.2457224999248224
CC00492AN15,140900,5,0.26020719808890663
CC00492AN15,140900,10,0.2733532642274032
CC00492AN15,140900,50,0.33968002690129756
CC00492AN15,140900,100,0.39288639279288345
CC00492AN15,140900,150,0.43517881803909725
CC00492AN15,140900,200,0.46957099436168076
CC00492AN15,140900,250,0.5020464298379135
CC00492AN15,140900,300,0.5297744806805708
CC00492AN15,140900,400,0.5813406072746221
CC00492AN15,140900,500,0.6222335993507924
CC00492AN15,140900,600,0.6525513209856232
CC00492AN15,140900,700,0.6780040804223834
CC00492AN15,140900,800,0.6967352381073637
CC00492AN15,140900,900,0.7101356536001299
CC00492AN15,140900,1000,0.7239840143609109
CC00492AN15,140900,2000,0.7906113582453967
CC00100XX01,35000,0,0.1341674859411823
CC00100XX01,35000,1,0.13630865820687588
CC00100XX01,35000,5,0.15184491303355926
CC00100XX01,35000,10,0.1742451587095579
CC00100XX01,35000,50,0.2673079101111407
CC00100XX01,35000,100,0.34980249280650566
CC00100XX01,35000,150,0.4216473634693782
CC00100XX01,35000,200,0.47530296846998704
CC00100XX01,35000,250,0.5190160854432517
CC00100XX01,35000,300,0.5559272969052458
CC00100XX01,35000,400,0.6023909966384718
CC00100XX01,35000,500,0.6345375791552034
CC00100XX01,35000,600,0.663591934784629
CC00100XX01,35000,700,0.6868416474230975
CC00100XX01,35000,800,0.7082482413632964
CC00100XX01,35000,900,0.7245948982782657
CC00100XX01,35000,1000,0.7374311032244208
CC00100XX01,35000,2000,0.8180785045096012
CC00777XX19,239102,0,0.15884783382801582
CC00777XX19,239102,1,0.16027180530988275
CC00777XX19,239102,5,0.16328341725756174
CC00777XX19,239102,10,0.16338058015523416
CC00777XX19,239102,50,0.280464712151743
CC00777XX19,239102,100,0.37423915813339553
CC00777XX19,239102,150,0.4449544361828443
CC00777XX19,239102,200,0.5032340280349776
CC00777XX19,239102,250,0.5607396153931294
CC00777XX19,239102,300,0.5992386451979766
CC00777XX19,239102,400,0.6503658459449041
CC00777XX19,239102,500,0.7003195578988627
CC00777XX19,239102,600,0.7348804008911531
CC00777XX19,239102,700,0.7580200913122516
CC00777XX19,239102,800,0.7739320224810297
CC00777XX19,239102,900,0.787280284404656
CC00777XX19,239102,1000,0.7943845053226698
CC00777XX19,239102,2000,0.8479468061274839
CC00839XX23,23710,0,0.19120757404503494
CC00839XX23,23710,1,0.19406451428051508
CC00839XX23,23710,5,0.19942793006141235
CC00839XX23,23710,10,0.2018292600543692
CC00839XX23,23710,50,0.24840758669038507
